,Date,Type,Action,Links,Bill:,Congress-Session:
261,"December 08, 1995",status,"A unanimous-consent agreement was reached providing for further consideration of the resolution and amendments proposed thereto. Senate will resume consideration on Monday, December 11, 1995",141 Cong Rec S 18274,SJRes 31,104- 1
262,"December 07, 1995",status,"A unanimous-consent agreement was reached providding for consideration of the bill, on Friday, December 8, 1995",141 Cong Rec S 18229,SJRes 31,104- 1
263,"December 07, 1995",status,The pending cloture vote on the motion to proceed to consideration of the resolution was vitiated,141 Cong Rec S 18229,SJRes 31,104- 1
264,"December 06, 1995",status,Senate began consideration of a motion to proceed to consideration of the resolution,141 Cong Rec S 18037,SJRes 31,104- 1
265,"December 06, 1995",status,"A motion was entered to close further debate on the motion to proceed to consideration of the resolution and, in accordance with the provisions of Rule XXII of the Standing Rules of the Senate, a vote on the cloture motion will occur on Friday, December 8, 1995.",141 Cong Rec S 18086,SJRes 31,104- 1
266,"September 27, 1995",status,Reported in the Senate (S. Rept. No. 104-148),141 Cong Rec D 1151,SJRes 31,104- 1
267,"July 27, 1995",status,Cosponsor(s) added,141 Cong Rec S 10832,SJRes 31,104- 1
268,"July 20, 1995",status,Senate Judiciary Committee ordered favorably reported,141 Cong Rec D 890,SJRes 31,104- 1
269,"June 06, 1995",status,"Senate Subcommittee on Constitution, Federalism, and Property Rights concluded hearings",141 Cong Rec D 686,SJRes 31,104- 1
270,"June 05, 1995",status,Cosponsor(s) added,141 Cong Rec S 7703,SJRes 31,104- 1
271,"May 26, 1995",status,Remarks by Sen. Heflin AL,141 Cong Rec S 7632,SJRes 31,104- 1
272,"May 19, 1995",status,Cosponsor(s) added,141 Cong Rec S 7020,SJRes 31,104- 1
273,"May 02, 1995",status,Cosponsor(s) added,141 Cong Rec S 6011,SJRes 31,104- 1
274,"April 25, 1995",status,Cosponsor(s) added,141 Cong Rec S 5676,SJRes 31,104- 1
275,"April 05, 1995",status,Cosponsor(s) added,141 Cong Rec S 5231,SJRes 31,104- 1
276,"April 03, 1995",status,Cosponsor(s) added,141 Cong Rec S 5076,SJRes 31,104- 1
277,"March 21, 1995",referral,Referred to the Senate Judiciary Committee,141 Cong Rec S 4262,SJRes 31,104- 1
278,"March 21, 1995",status,Remarks by Sen. Hatch UT,141 Cong Rec S 4275,SJRes 31,104- 1
279,"July 25, 2001",status,Remarks by Rep. Langevin (D-RI),147 Cong Rec E 1429,HJRes 36,107- 1
280,"July 20, 2001",status,Remarks by Rep. Weller (R-IL),147 Cong Rec E 1380,HJRes 36,107- 1
281,"July 20, 2001",status,Remarks by Rep. Reyes (D-TX),147 Cong Rec E 1388,HJRes 36,107- 1
282,"July 19, 2001",status,Remarks by Rep. Platts (R-PA),147 Cong Rec E 1374,HJRes 36,107- 1
283,"July 17, 2001",status,House considered,147 Cong Rec H 4043,HJRes 36,107- 1
284,"July 17, 2001",status,"Amendment offered by Rep. Watt (D-NC) in the nature of a substitute that sought to authorize the Congress, not inconsistent with the first amendment, to prohibit the physical desecration of the flag",147 Cong Rec H 4063,HJRes 36,107- 1
285,"July 17, 2001",status,House rejected Watt amendment by 100 yeas to 324 nays ( Roll No. 231),147 Cong Rec H 4068,HJRes 36,107- 1
286,"July 17, 2001",status,House passed by 298 yeas to 125 nays ( Roll No. 232),147 Cong Rec H 4069,HJRes 36,107- 1
287,"July 17, 2001",status,Remarks by Rep. Duncan (R-TN),147 Cong Rec H 4101,HJRes 36,107- 1
288,"July 11, 2001",status,"House Committee on Rules granted, by voice vote, a modified closed rule providing for two hours of debate",147 Cong Rec D 688,HJRes 36,107- 1
289,"July 11, 2001",status,Remarks by Sanchez (D-CA),147 Cong Rec H 3872,HJRes 36,107- 1
290,"June 27, 2001",status,Report filed by the House Committee on the Judiciary ( H. Rept. 107-115),147 Cong Rec H 3711,HJRes 36,107- 1
291,"June 20, 2001",status,Ordered reported by the House Committee on the Judiciary,147 Cong Rec D 605,HJRes 36,107- 1
292,"May 24, 2001",status,House Subcommittee on the Constitution approved for full committee action,147 Cong Rec D 521,HJRes 36,107- 1
293,"May 24, 2001",status,Markup held by Constitution Subcommittee,,HJRes 36,107- 1
294,"March 13, 2001",status,Remarks by Rep. Cunningham (R-CA),147 Cong Rec E 339,HJRes 36,107- 1
295,"March 13, 2001",referral,Referred to House Committee on the Judiciary,147 Cong Rec H 876,HJRes 36,107- 1
296,"March 13, 1947",status,Ordered to be Printed House,,HJRes 27,80- 1
297,"February 21, 1947",status,Reported in Senate,,HJRes 27,80- 1
298,"February 07, 1947",status,Referred to Committee House,,HJRes 27,80- 1
299,"February 05, 1947",status,Ordered to be Printed House,,HJRes 27,80- 1
300,"January 03, 1947",status,Introduced in the House,,HJRes 27,80- 1
301,"December 13, 1880",status,Referred to Committee House,,HJRes 344,46- 3
302,"February 22, 1965",status,Referred to Committee House,,SJRes 1,89- 1
303,"February 18, 1965",status,Laid on Table in Senate,,SJRes 1,89- 1
304,"February 17, 1965",status,Laid on Table in Senate,,SJRes 1,89- 1
305,"February 10, 1965",status,Reported in Senate,,SJRes 1,89- 1
306,"January 06, 1965",status,Introduced in the Senate,,SJRes 1,89- 1
307,"March 29, 1950",status,Ordered to be Printed House,,SJRes 2,81- 1
308,"February 02, 1950",status,Referred to Committee House,,SJRes 2,81- 1
309,"January 31, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
310,"January 30, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
311,"January 26, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
312,"January 05, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
313,Session 1,,,,SJRes 2,81- 1
314,"June 30, 1949",status,Referred with Amendments Senate,,SJRes 2,81- 1
315,"June 30, 1949",status,Reported in Senate,,SJRes 2,81- 1
316,"January 05, 1949",status,Referred to Committee Senate,,SJRes 2,81- 1
317,"January 05, 1949",status,Introduced in the Senate,,SJRes 2,81- 1
318,"June 05, 2012",status,Introduced in the Senate,158 Cong Rec S3729,SJRes 42,112- 2
319,"June 05, 2012",referral,Referred to the Senate Committee on the Judiciary.,158 Cong Rec S3729,SJRes 42,112- 2
320,"March 19, 1924",status,Ordered to be Printed Senate,,SJRes 22,68- 1
321,"March 06, 1924",status,Ordered to be Printed Senate,,SJRes 22,68- 1
322,"December 10, 1923",status,Introduced in the Senate,,SJRes 22,68- 1
323,"December 06, 1923",status,Introduced in the Senate,,SJRes 22,68- 1
324,"December 10, 1888",status,Referred to Committee House,,HRes 238,50- 2
325,"September 19, 1990",status,Reported in the Senate (S. Rept. No. 101-466),136 Cong Rec S 13418,SJRES 14,101- 1
326,"June 11, 1990",status,Cosponsors added,136 Cong Rec S 7716,SJRES 14,101- 1
327,"April 26, 1990",status,Senate Judiciary Committee ordered favorably reported,136 Cong Rec S 5033,SJRES 14,101- 1
328,Session 1,,,,SJRES 14,101- 1
329,"September 13, 1989",status,Cosponsors added,135 Cong Rec S 11039,SJRES 14,101- 1
330,"June 08, 1989",status,"Senate Subcommittee on the Constitution approved for full committee consideration, without recommendation",135 Cong Rec S 6359,SJRES 14,101- 1
331,"April 11, 1989",status,Senate Committee on Constitution concluded hearings,135 Cong Rec S 3565,SJRES 14,101- 1
332,"April 04, 1989",status,Cosponsors added,135 Cong Rec S 3254,SJRES 14,101- 1
333,"March 17, 1989",status,Cosponsors added,135 Cong Rec S 3153,SJRES 14,101- 1
334,"March 03, 1989",status,Cosponsors added,135 Cong Rec S 2153,SJRES 14,101- 1
335,"February 22, 1989",status,Cosponsors added,135 Cong Rec S 1581,SJRES 14,101- 1
336,"January 25, 1989",referral,Referred to Senate Committee on the Judiciary,135 Cong Rec S 175,SJRES 14,101- 1
337,"June 14, 2011",status,Introduced in the Senate,157 Cong Rec S3773,SJRes 19,112- 1
338,"June 14, 2011",referral,Referred to the Senate Committee on the Judiciary.,157 Cong Rec S3773,SJRes 19,112- 1
339,"June 14, 2011",others,Remarks by Sen. Hatch (R-UT),157 Cong Rec S3784,SJRes 19,112- 1
340,"May 06, 1879",status,Referred to Committee House,,HJRes 59,46- 1
341,"January 24, 2019",status,Introduced in the House,165 Cong Rec H1211,HJRes 33,116- 1
342,"January 24, 2019",referral,Referred to the House Committee on the Judiciary,165 Cong Rec H1211,HJRes 33,116- 1
343,"January 04, 1888",status,Referred to Committee House,,HRes 21,50- 1
344,"April 26, 2016",status,Introduced in the House,162 Cong Rec H1995,HJRes 91,114- 2
345,"April 26, 2016",referral,Referred to the House Committee on the Judiciary,162 Cong Rec H1995,HJRes 91,114- 2
346,"May 06, 2009",status,Introduced in the Senate,155 Cong Rec S5232,SJRes 15,111- 1
347,"May 06, 2009",referral,Referred to the Senate Committee on the Judiciary.,155 Cong Rec S5232,SJRes 15,111- 1
348,"June 17, 1999",status,"Remarks by Rep. MANZULLO, DONALD A (R-IL)",145 Cong Rec E 1310,HJRes 29,106- 1
349,"February 12, 1999",status,"Remarks by Rep. BLILEY, THOMAS JEROME JR (R-VA)",145 Cong Rec E 232,HJRes 29,106- 1
350,"February 11, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 644,HJRes 29,106- 1
351,"May 09, 2002",status,Hearing held by House Subcommittee on the Constitution,148 Cong Rec D 466,HJRes 91,107- 2
352,"May 02, 2002",referral,Referred to House Committee on the Judiciary,148 Cong Rec H 2099,HJRes 91,107- 2
353,"November 02, 1971",status,Laid on Table in Senate,,SJRes 150,92- 1
354,"September 08, 1971",status,Ordered to be Printed Senate,,SJRes 150,92- 1
355,"August 06, 1971",status,Laid on Table in Senate,,SJRes 150,92- 1
356,"October 11, 2013",status,Introduced in the Senate,159 Cong Rec S7414,SJRes 25,113- 1
357,"October 11, 2013",referral,Referred to the Senate Committee on the Judiciary,159 Cong Rec S7414,SJRes 25,113- 1
358,"January 05, 1886",status,Referred to Committee House,,HRes 44,49- 1
359,"July 14, 1994",status,Cosponsor(s) added,140 Cong Rec H 5761,HJRes 210,103- 1
360,Session 1,,,,HJRes 210,103- 1
361,"June 08, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 3341,HJRes 210,103- 1
362,"March 06, 1935",status,Introduced in the House,,HJRes 196,74- 1
363,"July 09, 1909",status,Referred to Committee House,,SJRes 40,61- 1
364,"June 28, 1909",status,Reported in Senate,,SJRes 40,61- 1
365,"December 10, 1883",status,Referred to Committee House,,HRes 12,48- 1
366,"December 10, 1883",status,Referred to Committee House,,HRes 16,48- 1
367,"March 08, 1971",status,Reported in Senate,,SJRes 7,92- 1
368,"March 08, 1971",status,Ordered to be Printed House,,SJRes 7,92- 1
369,"February 17, 1971",status,Reported in Senate,,SJRes 7,92- 1
370,"January 25, 1971",status,Introduced in the Senate,,SJRes 7,92- 1
371,"July 26, 1996",status,Cosponsor(s) added,142 Cong Rec H 8598,HJRes 176,104- 2
372,"April 24, 1996",referral,Referred to the House Judiciary Committee,142 Cong Rec H 3819,HJRes 176,104- 2
373,"March 22, 2004",referral,Referred to the Senate Committee on the Judiciary.,150 Cong Rec S 2859,SJRes 30,108- 2
374,"March 22, 2004",status,Remarks by Sen. Allard (R-CO),150 Cong Rec S 2865,SJRes 30,108- 2
375,"July 31, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 6705,HJRes 93,105- 1
376,"January 06, 2015",status,Introduced in the House,161 Cong Rec H43,HJRes 5,114- 1
377,"January 06, 2015",referral,Referred to the House Committee on the Judiciary,161 Cong Rec H43,HJRes 5,114- 1
378,"June 13, 2013",status,Introduced in the Senate,159 Cong Rec S4481,SJRes 17,113- 1
379,"June 13, 2013",referral,Referred to the Senate Committee on the Judiciary,159 Cong Rec S4481,SJRes 17,113- 1
380,"June 13, 2013",others,Introductory remarks by Sen. Hatch (R-UT),159 Cong Rec S4483,SJRes 17,113- 1
381,"June 28, 2013",status,Introduced in the House,159 Cong Rec H4175,HJRes 51,113- 1
382,"June 28, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H4175,HJRes 51,113- 1
