source_citation,source_group,title_or_description_from_source,year,month,day,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,text_source_citation,ratified_yn,ratified_amendment,notes
,State Ratifying Conventions,Pacifist Exception,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That any person religiously scrupulous of bearing arms ought to be exempted, upon payment of an equivalent to employ another to bear arms in his stead.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Freedom of Religion,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That religion, or the duty which we owe to our Creator, and the manner of discharging it, can be directed only by reason and conviction, not by force or violence; and therefore all men have an equal, natural, and unalienable right to the free exercise of religion, according to the dictates of conscience, and that no particular religious sect or society ought to be favored or established, by law, in preference to others.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,1,Proposed Bill of Rights
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Reservation of nondelegated powers,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That each state in the Union shall respectively retain every power, jurisdiction, and right, which is not by this Constitution delegated to the Congress of the United States, or to the departments of the federal government.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 659. ",yes,10,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Apportionment of Representatives,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That there shall be one representative for every thirty thousand according to the enumeration or census mentioned in the Constitution, until the whole number of representatives amounts to two hundred: after which, that number shall be continued or increased, as Congress shall direct, upon the principles fixed in the Constitution, by apportioning the representatives of each state to some greater number of people, from time to time, as population increases.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 659. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction upon the levying of direct taxes,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"When the Congress shall lay direct taxes or excises, they shall immediately inform the executive power of each state, of the quota of such state, according to the census herein directed, which is proposed to be thereby raised; and if the legislature of any state shall pass a law which shall be effectual for raising such quota at the time required by Congress, the taxes and excises laid by Congress shall not be collected in such state.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 659. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Senators and Representatives ineligible to civil office during term,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the members of the Senate and House of Representatives shall be ineligible to, and incapable of holding, any civil office under the authority of the United States, during the time for which they shall respectively be elected.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 659. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Publication of journals annually,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the journals of the proceedings of the Senate and House of Representatives shall be published at least once in every year, except suchparts thereof, relating to treaties, alliances, or military operations, as, in their judgment, require secrecy.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 659-60. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Publication of Treasury accounts,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That a regular statement and account of the receipts and expenditures of public money shall be published at least once a year.
","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Ratification of treaties,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no commercial treaty shall be ratified without the concurrence of two thirds of the whole number of the members of the Senate; and no treaty ceding, contracting, restraining, or suspending, the territorial rights or claims of the United States, or any of them, or their, or any of their rights or claims to fishing in the American seas, or navigating the American rivers, shall be made, but in cases of the most urgent and extreme necessity; nor shall any such treaty be ratified without the concurrence of three fourths of the whole number of the members of both houses respectively.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction in passage of navigation laws,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no navigation law, or law regulating commerce, shall be passed without the consent of two thirds of the members present, in both houses.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Standing army in time of peace,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no standing army, or regular troops, shall be raised, or kept up, in time of peace, without the consent of two thirds of the members present, in both houses.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Period of enlistment of soldiers limited,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no soldier shall be enlisted for any longer term than four years, except in time of war, and then for no longer term than the continuance of the war.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Regulation of the militia,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That each state respectively shall have the power to provide for organizing, arming, and disciplining its own militia, whensoever Congress shall omit or neglect to provide for the same. That the militia shall not be subject to martial law, except when in actual service, in time of war, invasion, or rebellion; and when not in the actual service of the United States, shall be subject only to such fines, penalties, and punishments, as shall be directed or inflicted by the laws of its own state. ","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction on the powers of Congress over the Federal town,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the exclusive power of legislation given to Congress over the federal town and its adjacent district, and other places, purchased or to be purchased by Congress of any of the states, shall extend only to such regulations as respect the police and good government thereof. ","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Limitation upon eligibility of President,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,That no person shall be capable of being President of the United States for more than eight years in any term of sixteen years.,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Jurisdiction of Federal Courts,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the judicial power of the United States shall be vested in one Supreme Court, and in such courts of admiralty as Congress may from time to time ordain and establish in any of the different states. The judicial power shall extend to all cases in law and equity arising under treaties made, or which shall be made, under the authority of the United States; to all cases affecting ambassadors, other foreign ministers, and consuls; to all cases of admiralty and maritime jurisdiction; to controversies to which the United States shall be a party; to controversies between two or more states, and between parties claiming lands under the grants of different states. In all cases affecting ambassadors, other foreign ministers, and consuls, and those in which a state shall be a party, the Supreme Court shall have original jurisdiction ; in all other cases before mentioned, the Supreme Court shall have appellate jurisdiction, as to matters of law only, except in cases of equity, and of admiralty, and maritime jurisdiction, in which the Supreme Court shall have appellate jurisdiction both as to law and fact, with such exceptions and under such regulations as the Congress shall make: but the judicial power of the United States shall extend to no case where the cause of action shall have originated before the ratification of the Constitution, except in disputes between states about their territory, disputes between persons claiming lands under the grants of different states, and suits for debts due to the United States.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 660-61. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Rights of defendant in criminal trials,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That, in criminal prosecutions, no man shall be restrained in the exercise of the usual and accustomed right of challenging or excepting to the jury.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661. ",yes,6,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction on Federal control over election of Senators and Representatives,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That Congress shall not alter, modify, or interfere in the times, places, or manner of holding elections for senators and representatives, or either of them, except when the legislature of any state shall neglect, refuse, or be disabled, by invasion or rebellion, to prescribe the same.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Rights reserved,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That those clauses which declare that Congress shall not exercise certain powers, be not interpreted, in any manner whatsoever, to extend the powers of Congress; but that they be construed either as making exceptions to the specified powers where this shall be the case, or otherwise, as inserted merely for greater caution.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,To regulate the alteration of the compensation of Senators and Representatives,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the laws ascertaining the compensation of senators and representatives for their services, be postponed, in their operation, until after the election of representatives immediately succeeding the passing thereof; that excepted which shall first be passed on the subject.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661. ",yes,27,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Court for the trial of impeachment of Senators,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,That some tribunal other than the Senate be provided for trying impeachments of senators.,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Regulate the alteration of the salary of judges,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the salary of a judge shall not be increased or diminished during his continuance in office, otherwise than by general regulations of salary, which may take place on a revision of the subject at stated periods of not less than seven years, to commence from the time such salaries shall be first ascertained by Congress.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661. ",no,,
,State Ratifying Conventions,Popular Sovereignty,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That all power is originally vested in, and consequently derived from, the people, and that government is instituted by them for their common interest, protection, and security.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 327. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Declaration of Rights,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the enjoyment of life, liberty, and the pursuit of which every government ought to respect happiness, are essential rights, which every government ought to respect and preserve.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 327. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Right to Revolution,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,That the powers of government my be reassumed by the people whensoever it shall become necessary to their happiness,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 327. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Reservation of nondelegated powers,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That every power, jurisdiciton, and right, which is not by the said Constitutiton clearly delegated to the Congress of the United States, or departments of the government thereof, remains to the people of the severl states, or to their respective state governments, to whom they may have granted the same; and that those clauses in the said Constitution, which declare that Congress shall not have or excercise certain powers, do not imply that Congress is entitled to any powers not given by the said Constitution; but such clauses are to be construed either as exceptions to certain specified powers or as inserted merely for greater caution.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 327. ",yes,10,Proposed Bill of Rights
,State Ratifying Conventions,Freedom of Religion,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the people have an equal, natural, and unalienable right freely and peaceably to exercise their religion, according to the dictates of conscience; and that no religious sect or society ought to be favored or established by law in preference to others.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,1,Proposed Bill of Rights
,State Ratifying Conventions,Right to bear Arms,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the people have a right to keep and bear arms; that a well-regulated militia, including the body of the people capableof bearing arms, is the proper, natural, and safe defence of a free state.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,2,Proposed Bill of Rights
,State Ratifying Conventions,Martial Law,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the militia should not he subject to martial law, except in time of war, rebellion, or insurrection.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Standing army in time of peace,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That standing armies, in time of peace, are dangerous to liberty, and ought not to be kept up, except in cases of necessity; and that at all times the military should be under strict subordination to the civil power.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Quartering in Peacetime,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That, in time of peace, no soldier ought to be quartered in any house without the consent of the owner, and in time of war only by the civil magistrate, in such manner as the laws may direct.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,3,Proposed Bill of Rights
,State Ratifying Conventions,Due Process,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That no person ought to be taken, imprisoned, or disseized of his freehold, or be exiled, or deprived of'his privileges, franchises, life, liberty, or property, but by due process of law.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,5,Proposed Bill of Rights
,State Ratifying Conventions,Double Jeopardy,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That no person ought to be put twice in jeopardy of life or limb, for one and the same offence; nor, unless in case of impeachment, be punished more than once for the same offence.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,5,Proposed Bill of Rights
,State Ratifying Conventions,Remedy for Wrong,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That every person restrained of his liberty is entitled to an inquiry into the lawfulness of such restraint, and to a removal thereof if unlawful; and that such inquiry or removal ought not to be denied or delayed, except when, on account of public danger, the Congress shall suspend the privilege of the writ of habeas corpus.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",,,Proposed Bill of Rights
,State Ratifying Conventions,Excessive Bail and Punishments,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That excessive bail ought not to be required, nor excessive fines imposed, nor cruel or unusual punishments inflicted.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,8,Proposed Bill of Rights
,State Ratifying Conventions,Trial by Jury,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That (except in the government of the land and naval forces, and of the militia when in actual service, and in cases of impeachment) a presentment or indictment by
a grand jury ought to be observed as a necessary preliminary to the trial of all crimes cognizable by the judiciary the the United States; and such trial should be speedy, public, and by an impartial jury of the county where the crime as committed; and that no person can be found guilty without the unanimous consent of such jury. But in cases of crimes not committed within any county of any of the United States, and in cases of crimes committed within any county in which a general insurrection may prevail, or wvhich may be in the possession of a foreign enemy, the inquiry and trial may be in such county as the Congress shall by law direct; which county, in the two cases last mentioned, should be as near as conveniently may be to that county in which the crime may have been committed;—and that, in all criminal prosecutions, the accused ought to be informed of the cause and nature of his accusation, to be confronted with his accusers and the witnesses against him, to have the means of producing his witnesses, and the assistance of counsel for his defence; and should not be compelled to give evidence against himself.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,6,Proposed Bill of Rights
,State Ratifying Conventions,Trial by Jury,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the trial by jury, in the extent that it obtains by the common law of England, is one of the greatest securities to the rights of a free people, and ought to remain inviolate.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,7,Proposed Bill of Rights
,State Ratifying Conventions,Searches and Seizures,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That every freeman has a right to be secure from all unreasonable searches and seizures of his person, his papers, or Isis property; and therefore, that all warrants to search suspected places, or seize any freeman, his papers, or property, without information, upon oath or affirmation, of sufficient cause, are grievous and oppressive; and that all general warrants (or such in which the place or person suspected are not particularly designated) are dangerous, and ought not to be granted).","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,4,Proposed Bill of Rights
,State Ratifying Conventions,Assembly and Petition,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the people have a right peaceably to assemble together to consult for their common good, or to instruct their representatives, and that every person has a right to petition or apply to the legislature for redress of grievances.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,1,Proposed Bill of Rights
,State Ratifying Conventions,Freedom of the Press,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,That the freedom of the press ought not to be violated or restrained.,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",yes,1,Proposed Bill of Rights
,State Ratifying Conventions,Presidential Election,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That there should be, once in four years, an election of the President and Vice-President, so that no officer, who may be appointed by the Congress to act as President, in case of the removal, death, resignation, or inability, of the President and Vice-President, can in any case continue to act beyond the termination of the period for which the last President and Vice-President were elected.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",,,Proposed Bill of Rights
,State Ratifying Conventions,Congresional Power,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That nothing contained in the said Constitution is to be construed to prevent the legislature of any state from passing laws at its discretion, from time to time, to divide such state into convenient districts, and to apportion its representatives to and amongst such districts.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Ex Post Fact Laws,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,That the prohibition contained in the said Constitution against ex post facto laws extends to laws concerning crimes.,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Writ of Error,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That all appeals in causes determinable according to the course of the common law, ought to be by writ of error, and not otherwise.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 329. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,No Federal Criminal Cases,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the judicial power of the United States, in cases in which a state may be a party, does not extend to criminal prosecutions, or to authorize any suit by any person against a state.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 329. ",yes,11,Proposed Bill of Rights
,State Ratifying Conventions,Federal Court Jurisdiction,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the judicial power of the United States, as to controversies between citizens of the same state, claiming lands under grants from different states, is not to be construed to extend to any other controversies between them, except those which relate to such lands, so claimed, under grants of different states.
","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 329. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Limit Federal Jurisdiction,1788,7,26,1,1,,,New York State Ratifying Convention,New York,,"That the jurisdiction of the Supreme Court of the United States, or of any other court to be instituted by the Congress, is not in any case to be increased, enlarged, or extended, by any faction, collusion, or mere suggestion; and that no treaty is to be construed so to operate as to alter the Constitution of any state.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 329. ",no,,Proposed Bill of Rights
